ID,Name,Watched,Rating
387,Captain Jinks,no,0
388,Captain Louie,no,0
389,Captain of the Guard,no,0
390,The Card,no,0
391,Carefree,no,0
392,Carib Song,no,0
393,Carmelina,no,0
394,Carmen,no,0
395,Carmen Cubana,no,0
396,Carmen Jones,no,0
397,Carnival in Flanders,no,0
398,Carnival!,no,0
399,Carolina Blues,no,0
400,Caroline,no,0
401,Carousel,no,0
402,Carrie,no,0
403,Casbah,no,0
404,The Casino Girl,no,0
405,Castles in the Air,no,0
406,The Cat and the Fiddle,no,0
407,Catch Me If You Can,no,0
408,Catch My Soul,no,0
409,The Catch of the Season,no,0
410,A Catered Affair,no,0
411,Cats,no,0
412,Cats Don't Dance,no,0
413,Celebration,no,0
414,Centennial Summer,no,0
415,The Century Girl,no,0
416,Champagne Charlie,no,0
417,Chaplin,no,0
418,Charlie and the Chocolate Factory,no,0
419,Charlie Girl,no,0
420,Charlotte Sweet,no,0
421,Charlotte's Web,no,0
422,Chasing Rainbows,no,0
423,Chee-Chee,no,0
424,The Cheetah Girls,no,0
425,The Cheetah Girls 2,no,0
426,The Cheetah Girls: One World,no,0
427,The Cher Show,no,0
428,Chess,no,0
429,Chicago,no,0
430,Chick Flick the Musical,no,0
431,Children in the Playground,no,0
432,Children of Eden,no,0
433,Children's Letters to God,no,0
434,Chin-Chin,no,0
435,A Chinese Honeymoon,no,0
436,Chitty Chitty Bang Bang,no,0
437,The Chocolate Dandies,no,0
438,The Chocolate Soldier,no,0
439,A Chorus Line,no,0
440,Chris and the Wonderful Lamp,no,0
441,Christine,no,0
442,A Christmas Carol,no,0
443,The Christmas Schooner,no,0
444,A Christmas Story,no,0
445,Chronicle of a Death Foretold,no,0
446,Chu Chin Chow,no,0
447,Church Basement Ladies,no,0
448,Cinderella,no,0
449,Cindy,no,0
450,Cindy: Cendrillon 2002,no,0
451,The Cingalee,no,0
452,Cirque Dreams Holidaze,no,0
453,City of Angels,no,0
454,The Civil War,no,0
455,Clambake,no,0
456,A Class Act,no,0
457,Cleavage,no,0
458,Cleopatra,no,0
459,Cleopatra: The New Pop Experience,no,0
460,Clinton: The Musical,no,0
461,Close Harmony,no,0
462,Closer Than Ever,no,0
463,Closer to Heaven,no,0
464,Clue,no,0
465,Clueless,no,0
466,Coco,no,0
467,The Cocoanut Grove,no,0
468,The Cocoanuts,no,0
469,Colleen,no,0
470,College Humor,no,0
471,Colma,no,0
472,The Color Purple,no,0
473,Come from Away,no,0
474,Come Summer,no,0
475,Comin' Round the Mountain,no,0
476,Company,no,0
477,Coney Island,no,0
478,A Connecticut Yankee,no,0
479,A Connecticut Yankee in King Arthur's Court,no,0
480,The Conquering Hero,no,0
481,Contact,no,0
482,Conversation Piece,no,0
483,The Co-Optimists,no,0
484,Copacabana,no,0
485,Copper and Brass,no,0
486,Corpse Bride,no,0
487,Cotton Patch Gospel,no,0
488,The Count of Luxembourg,no,0
489,The Count of Monte Cristo,no,0
490,Count To Ten,no,0
491,Countess Maritza,no,0
492,The Court Jester,no,0
493,Cover Girl,no,0
494,Cowardy Custard,no,0
495,Cowboy from Brooklyn,no,0
496,Coyote Tales,no,0
497,The Cradle Will Rock,no,0
498,Cranks,no,0
499,Crazy for You,no,0
500,Crossroads,no,0
501,Cruel Intentions: The Musical,no,0
502,Cry for Us All,no,0
503,Cry-Baby,no,0
504,Cuban Love Song,no,0
505,The Cuckoos,no,0
506,The Curious Case of the Human Being,no,0
507,Curley McDimple,no,0
508,Curly Top,no,0
509,Curtains,no,0
510,Cyrano,no,0
511,Daddy Cool,no,0
512,Daddy Long Legs,no,0
513,Dames,no,0
514,Dames at Sea,no,0
515,Damn Yankees,no,0
516,A Damsel in Distress,no,0
517,Dance a Little Closer,no,0
518,The Dance of Life,no,0
519,Dance of the Vampires,no,0
520,Dance with Me,no,0
521,Dancer in the Dark,no,0
522,Dancin',no,0
523,Dancing Lady,no,0
524,The Dancing Years,no,0
525,Dangerous Games,no,0
526,A Dangerous Maid,no,0
527,Dangerous When Wet,no,0
528,Darby O'Gill and the Little People,no,0
529,Darling Lili,no,0
530,Darling of the Day,no,0
531,A Date with Judy,no,0
532,A Day at the Races,no,0
533,The Day Before Spring,no,0
534,A Day in Hollywood / A Night in the Ukraine,no,0
535,Dear Edwina,no,0
536,Dear Evan Hansen,no,0
537,Dear World,no,0
538,Dearest Enemy,no,0
539,Death Note,no,0
540,Debbie Does Dallas,no,0
541,Deep in My Heart,no,0
542,Delicious,no,0
543,Delightfully Dangerous,no,0
544,De-Lovely,no,0
545,Les Demoiselles de Rochefort,no,0
546,Departure Lounge,no,0
547,Descendants,no,0
548,Descendants 2,no,0
549,Descendants 3,no,0
550,The Desert Song,no,0
551,Dessa Rose,no,0
552,Destry Rides Again,no,0
553,Devil-May-Care,no,0
