ID,Name,Watched,Rating
310,Genshiken ,No,0
311,The Gentlemen Alliance † ,No,0
312,Geobreeders ,No,0
313,Gerard & Jacques ,No,0
314,GetBackers ,No,0
315,Ghost Hunt ,No,0
316,Ghost in the Shell ,No,0
317,Gimmick! ,No,0
318,Ginban Kaleidoscope ,No,0
319,Ginga Legend Weed ,No,0
320,Gin Tama ,No,0
321,Girl Got Game ,No,0
322,Girls Bravo ,No,0
323,Glass Wings ,No,0
324,Godchild: see Earl Cain,No,0
325,Goku Midnight Eye ,No,0
326,Golden Cain ,No,0
327,Golden Prince and Argent King ,No,0
328,Golgo 13 ,No,0
329,Gorgeous Carat ,No,0
330,Grand Guignol Orchestra ,No,0
331,Gravitation ,No,0
332,Great Teacher Onizuka ,No,0
333,Grenadier ,No,0
334,Grey ,No,0
335,The Guin Saga Manga:The Seven Magi ,No,0
336,Gun Blaze West ,No,0
337,Gundam: see Mobile Suit Gundam,No,0
338,Gunparade March ,No,0
339,Gunslinger Girl ,No,0
340,Gunsmith Cats ,No,0
341,Guru Guru Pon-chan ,No,0
342,Gyo ,No,0
343,Haganai: I Don't Have Many Friends ,No,0
344,Haikyū!! ,No,0
345,Hana-Kimi: For You in Full Blossom ,No,0
346,Hanaukyo Maid Team ,No,0
347,Hands Off! ,No,0
348,Happy Hustle High ,No,0
349,Happy Mania ,No,0
350,Harlem Beat/Rebound ,No,0
351,Hate to Love You ,No,0
352,Haunted House ,No,0
353,Hayate X Blade ,No,0
354,Hayate the Combat Butler ,No,0
355,He Is My Master ,No,0
356,Heat Guy J ,No,0
357,Heavenly Body ,No,0
358,Hell Girl ,No,0
359,Hellsing ,No,0
360,Here is Greenwood ,No,0
361,Hero Heel,No,0
362,"Hey, Sensei? ",No,0
363,Hibiki's Magic ,No,0
364,High School Debut ,No,0
365,High School Girls ,No,0
366,Higurashi When They Cry ,No,0
367,Hikaru no Go ,No,0
368,Hikkatsu! Strike a Blow to Vivify ,No,0
369,Hitohira ,No,0
370,Honey and Clover ,No,0
371,Honey Hunt ,No,0
372,Honey So Sweet ,No,0
373,Hoshin Engi ,No,0
374,Hot Gimmick ,No,0
375,Hot Limit ,No,0
376,Hot Steamy Glasses ,No,0
377,Hunter × Hunter ,No,0
378,Hybrid Child ,No,0
379,Hyde & Closer ,No,0
380,Hyper Police ,No,0
381,Hyper Rune ,No,0
382,"I""s ",No,0
383,IC in a Sunflower ,No,0
384,I Shall Never Return ,No,0
385,I Hate You More Than Anyone ,No,0
386,Ice Blade ,No,0
387,Ichigenme... The First Class is Civil Law ,No,0
388,Ikebukuro West Gate Park ,No,0
389,I'll Be Your Slave ,No,0
390,Imadoki! ,No,0
391,Immortal Rain ,No,0
392,Initial D ,No,0
393,Innocent Bird ,No,0
394,Instant Teen: Just Add Nuts ,No,0
395,Inubaka: Crazy for Dogs ,No,0
396,Inukami! ,No,0
397,InuYasha ,No,0
398,Iono-sama Fanatics ,No,0
399,"I, Otaku: Struggle in Akihabara ",No,0
400,Iron Wok Jan ,No,0
401,Is He Turning Japanese? ,No,0
402,Is This a Zombie? ,No,0
403,Japan ,No,0
404,Jing: King of Bandits ,No,0
405,Jinki: Extend ,No,0
406,JoJo's Bizarre Adventure ,No,0
407,Judas ,No,0
408,Ju-on series ,No,0
409,Juna'i Tokkou Taichou: see Love Attack!,No,0
410,Junjo Romantica ,No,0
411,Juvenile Orion ,No,0
412,Ka Shin Fu ,No,0
413,Kagetora,No,0
414,Kamen Tantei ,No,0
415,Kami Kaze ,No,0
416,Kamichama Karin ,No,0
417,Kamichama Karin Chu ,No,0
418,Kamikaze Girls ,No,0
419,Kamikaze Kaito Jeanne ,No,0
420,Kamiyadori ,No,0
421,Kamui ,No,0
422,Kamunagara ,No,0
423,Kannagi: Crazy Shrine Maidens ,No,0
424,Kannazuki no Miko ,No,0
425,Kanpai! ,No,0
426,Karakuridôji Ultimo ,No,0
427,Kare First Love ,No,0
428,Kare Kano: His and Her Circumstances ,No,0
429,Kashimashi: Girl Meets Girl ,No,0
430,Kaze Hikaru ,No,0
431,Kekkaishi ,No,0
432,Kilala Princess ,No,0
433,KI-ME-RA ,No,0
434,Kindaichi Case Files ,No,0
435,King of Thorn ,No,0
436,Kingdom Hearts ,No,0
437,Kingdom Hearts II ,No,0
438,Kingdom Hearts 358/2 Days ,No,0
439,Kingdom Hearts: Chain of Memories ,No,0
440,Kiss All the Boys ,No,0
441,Kitchen Princess ,No,0
442,Kizuna: Bonds of Love ,No,0
443,Knights of Sidonia ,No,0
444,The Knockout Makers,No,0
445,Kodocha: Sana's Stage ,No,0
446,Kodomo no Jikan ,No,0
447,Komi Can't Communicate,No,0
448,Komomo Confiserie,No,0
449,Kujibiki Unbalance ,No,0
450,Kurogane ,No,0
451,La Esperança ,No,0
452,La Corda D'Oro ,No,0
453,Lagoon Engine ,No,0
454,Lament of the Lamb ,No,0
455,Land of the Blindfolded ,No,0
456,"Last Uniform, The ",No,0
457,"Law of Ueki, The ",No,0
458,Leave it to PET! ,No,0
459,Legal Drug ,No,0
460,Legend of Chun Hyang ,No,0
461,Legendz ,No,0
462,Level C ,No,0
463,Lies & Kisses ,No,0
464,Life ,No,0
465,Little Butterfly ,No,0
466,Little Fluffy Gigolo Pelu ,No,0
467,Little Witch Academia ,No,0
468,Lone Wolf and Cub ,No,0
469,Love Attack! ,No,0
470,Love For Dessert ,No,0
471,Love for Venus ,No,0
472,Love Com ,No,0
473,Love Hina ,No,0
474,Love Mode ,No,0
475,Love Pistols ,No,0
476,Love Roma ,No,0
477,Love Quest,No,0
478,Loveholic ,No,0
479,Loveless ,No,0
480,Lovers in the Night ,No,0
481,Loving Gaze ,No,0
482,Lucky Star ,No,0
483,Lum / The Return of Lum ,No,0
484,Lunar Legend Tsukihime ,No,0
485,Lupin III ,No,0
486,Maburaho ,No,0
487,Madara ,No,0
488,Made in Heaven ,No,0
489,Madness ,No,0
490,Magic Knight Rayearth ,No,0
491,Magical Shopping Arcade Abenobashi ,No,0
492,Magical x Miracle ,No,0
493,Mahoromatic ,No,0
494,Maiden Rose ,No,0
495,Maison Ikkoku ,No,0
496,"Mai, the Psychic Girl ",No,0
497,Maka-Maka,No,0
498,Make Love & Peace ,No,0
499,Mamotte! Lollipop ,No,0
500,Man of Many Faces ,No,0
501,Man's Best Friend ,No,0
502,Mao-Chan ,No,0
503,MÄR: Märchen Awakens Romance ,No,0
504,Marionette Generation ,No,0
505,Marmalade Boy ,No,0
506,Mars ,No,0
507,Martian Successor Nadesico ,No,0
508,Me & My Brothers ,No,0
509,Medabots ,No,0
510,MegaMan NT Warrior ,No,0
511,Melted Love ,No,0
512,Mermaid Saga ,No,0
513,MeruPuri ,No,0
514,Metamo Kiss ,No,0
515,Metroid ,No,0
516,Metropolis ,No,0
517,Midori Days ,No,0
518,Millennium Snow ,No,0
519,Miracle Girls ,No,0
520,Missions of Love ,No,0
521,Mixed Vegetables ,No,0
522,Miyuki-chan in Wonderland ,No,0
523,My Little Monster ,No,0
524,My Love Story!! ,No,0
525,Mobile Police Patlabor ,No,0
526,Mobile Suit Gundam ,No,0
527,Mobile Suit Gundam École du Ciel ,No,0
528,Mobile Suit Gundam SEED ,No,0
529,Mobile Suit Gundam SEED Destiny ,No,0
530,Mobile Suit Gundam Wing ,No,0
531,Monochrome Factor ,No,0
532,Monokuro Kinderbook ,No,0
533,Monster ,No,0
534,The Moon and the Sandals ,No,0
535,More Starlight To Your Heart ,No,0
536,Mouryou Kiden ,No,0
537,Moyashimon: Tales of Agriculture ,No,0
538,MPD-Psycho ,No,0
539,Mugen Spiral ,No,0
540,Muhyo & Roji's Bureau of Supernatural Investigation ,No,0
541,Musashi Number Nine ,No,0
542,Mushishi ,No,0
543,My-HiME ,No,0
544,My Heavenly Hockey Club ,No,0
545,My Only King ,No,0
546,Nadesico ,No,0
547,Nana ,No,0
548,Naruto ,No,0
549,Natsume's Book of Friends ,No,0
550,Nausicaä of the Valley of the Wind ,No,0
551,Necratoholic ,No,0
552,Negima!: Magister Negi Magi ,No,0
553,Neko Majin ,No,0
554,Neon Genesis Evangelion ,No,0
555,Neon Genesis Evangelion: Angelic Days ,No,0
556,Nephilim ,No,0
557,Never Give Up! ,No,0
558,Nightmares for Sale ,No,0
559,Night Warriors: Darkstalkers' Revenge ,No,0
560,Ninja Girls ,No,0
561,Ninja Nonsense ,No,0
562,Nisekoi: False Love ,No,0
563,No. 5 ,No,0
564,No Bra ,No,0
565,Nodame Cantabile ,No,0
566,No Need for Tenchi! ,No,0
567,Nora: The Last Chronicle of Devildom ,No,0
568,Noodle Fighter Miki ,No,0
569,Nosatsu Junkie ,No,0
570,Nura: Rise of the Yokai Clan ,No,0
571,O-Parts Hunter ,No,0
572,Ogre Slayer ,No,0
573,Oh My Goddess! ,No,0
574,Oishinbo ,No,0
575,Old Boy ,No,0
576,The One I Love ,No,0
577,One Piece ,No,0
578,One-Pound Gospel ,No,0
579,One-Punch Man ,No,0
580,Onegai Teacher ,No,0
581,Onegai Twins ,No,0
582,Only the Ring Finger Knows ,No,0
583,Onward Towards Our Noble Deaths' ,No,0
584,Ōoku: The Inner Chambers,No,0
585,Ordinary Crush ,No,0
586,Othello ,No,0
587,Otogi Matsuri ,No,0
588,Otogi Zoshi ,No,0
589,Otomen ,No,0
590,Our Kingdom ,No,0
591,Ouran High School Host Club ,No,0
592,Outlanders ,No,0
593,Oyayubihime Infinity ,No,0
594,Pandora Hearts ,No,0
595,Paradise Kiss ,No,0
596,Parasyte ,No,0
597,Pastel ,No,0
598,Patlabor ,No,0
599,Path of the Assassin ,No,0
600,Peace Maker Kurogane ,No,0
601,Peach Girl ,No,0
602,Pearl Pink ,No,0
603,Penguin Revolution ,No,0
604,Pet Shop of Horrors ,No,0
605,Phantom Dream ,No,0
606,Phoenix ,No,0
607,Phoenix Wright ,No,0
608,Pichi Pichi Pitch: Mermaid Melody ,No,0
609,Pick of the Litter ,No,0
610,Pilgrim Jäger ,No,0
611,Pita Ten ,No,0
612,Pixie Pop ,No,0
613,Planet Ladder ,No,0
614,Planetes ,No,0
615,Plastic Little ,No,0
616,Please Save My Earth ,No,0
617,Pluto: Urasawa x Tezuka ,No,0
618,Pokémon ,No,0
619,Le Portrait de Petit Cossette ,No,0
620,Prétear ,No,0
621,Pretty Face ,No,0
622,The Prince of Tennis ,No,0
623,Princess Ai ,No,0
624,Princess Ninja Scroll Tenka Musō ,No,0
625,Princess Princess ,No,0
626,Princess Resurrection ,No,0
627,Princess Tutu ,No,0
628,Project ARMS ,No,0
629,Promise: see Four Shōjo Stories,No,0
630,Psychic Academy ,No,0
631,Psycho Busters ,No,0
632,Pumpkin Scissors ,No,0
633,Punch! ,No,0
634,Pure Trance ,No,0
635,Q-Ko-Chan: The Earth Invader Girl ,No,0
636,Qwan ,No,0
637,R.O.D: Read or Die ,No,0
638,RahXephon ,No,0
639,Ranma ½ ,No,0
640,Rave Master ,No,0
641,Ray ,No,0
642,Read or Dream ,No,0
643,Real ,No,0
644,Reborn! ,No,0
645,The Recipe for Gertrude ,No,0
646,Record of Lodoss War series ,No,0
647,Red Blinds the Foolish ,No,0
648,Red River ,No,0
649,Remote ,No,0
650,Revolutionary Girl Utena' ,No,0
651,RG Veda ,No,0
652,Rin-ne ,No,0
653,Rosario + Vampire ,No,0
654,Rose Hip Rose ,No,0
655,The Rose of Versailles ,No,0
656,Rozen Maiden ,No,0
657,Rumic World / Rumic Theater ,No,0
658,Rurouni Kenshin ,No,0
659,S.A ,No,0
660,S.S. Astro ,No,0
661,Saber Marionette J ,No,0
662,Saikano ,No,0
663,Sailor Moon ,No,0
664,Saint Seiya ,No,0
665,Saint Tail ,No,0
666,Saiyuki ,No,0
667,Sakura Taisen ,No,0
668,Samurai Champloo ,No,0
669,Samurai Deeper Kyo ,No,0
670,Samurai Executioner ,No,0
671,Real Bout High School ,No,0
672,Samurai Harem: Asu no Yoichi ,No,0
673,Sanctuary ,No,0
674,Sand Chronicles ,No,0
675,Sand Land ,No,0
676,Satisfaction Guaranteed ,No,0
677,"Sayonara, Zetsubou-Sensei ",No,0
678,Saving Life,No,0
679,School Rumble ,No,0
680,School Zone ,No,0
681,Scrapped Princess ,No,0
682,Scryed ,No,0
683,Seduce Me After the Show,No,0
684,Seikai Trilogy ,No,0
685,Selfish Love ,No,0
686,Sensual Phrase ,No,0
687,Seraph of the End ,No,0
688,The Seven Deadly Sins ,No,0
689,Seven of Seven ,No,0
690,Sexy Voice and Robo ,No,0
691,Sgt. Frog ,No,0
692,Shadow Lady ,No,0
693,Shadow Star ,No,0
694,Shakugan no Shana ,No,0
695,Shaman King ,No,0
696,Shiki Tsukai ,No,0
697,Shinobi Life ,No,0
698,Shirahime-Syo: Snow Goddess Tales ,No,0
699,Short Program ,No,0
700,Short Cuts ,No,0
701,Shout Out Loud! ,No,0
702,Shugo Chara! ,No,0
703,Silent Möbius ,No,0
704,A Silent Voice ,No,0
705,Since You've Been Gone: see Four Shōjo Stories,No,0
706,Skip Beat! ,No,0
707,Skull Man ,No,0
708,Skyscrapers of Oz ,No,0
709,Slam Dunk ,No,0
710,Slayers ,No,0
711,Slut Girl ,No,0
712,Socrates in Love ,No,0
713,Solfege ,No,0
714,Someday's Dreamers ,No,0
715,Sorcerer Hunters ,No,0
716,Soul Eater ,No,0
717,Soul Eater Not! ,No,0
718,Soul Rescue ,No,0
719,Spider-Man: The Manga ,No,0
720,Spiral: The Bonds of Reasoning ,No,0
721,Spirit of Wonder ,No,0
722,Spring Fever ,No,0
723,Star Wars series ,No,0
724,Steam Detectives ,No,0
725,Steel Angel Kurumi ,No,0
726,Stellvia ,No,0
727,Strain ,No,0
728,A Strange and Mystifying Story ,No,0
729,Strawberry 100% ,No,0
730,Strawberry Marshmallow ,No,0
731,Strawberry Panic! ,No,0
732,Street Fighter II ,No,0
733,Striker or Spriggan ,No,0
734,Sugar Princess ,No,0
735,Sugar Sugar Rune ,No,0
736,Suikoden III ,No,0
737,Suki: A Like Story ,No,0
738,Sumomomo Momomo: The Strongest Bride on Earth ,No,0
739,"The Super Dimension Fortress Macross II: Lovers, Again ",No,0
740,Super Taboo ,No,0
741,Suzuka ,No,0
742,Swallowing the Earth ,No,0
743,Swan ,No,0
744,Sweet Rein ,No,0
745,Switch ,No,0
746,Sword of the Dark Ones ,No,0
747,The Sword of Shibito ,No,0
748,Tactics ,No,0
749,Tail of the Moon ,No,0
750,Hiroki Endo's Tanpenshu ,No,0
751,Tegami Bachi ,No,0
752,Tenjho Tenge ,No,0
753,Tenshi Ja Nai!! ,No,0
754,Tetragrammaton Labyrinth ,No,0
755,They Were Eleven: see Four Shōjo Stories,No,0
756,Those Who Hunt Elves ,No,0
757,Time Stranger Kyoko ,No,0
758,Togari ,No,0
759,Tokyo Babylon ,No,0
760,Tokyo Boys & Girls ,No,0
761,Tokyo Ghoul ,No,0
762,Tokyo Mew Mew ,No,0
763,Toradora! ,No,0
764,Toriko ,No,0
765,Toto! The Wonderful Adventure ,No,0
766,"Town of Evening Calm, Country of Cherry Blossoms ",No,0
767,Train Man: A Shōjo Manga ,No,0
768,Train Man: Densha Otoko ,No,0
769,Train*Train,No,0
770,Tramps Like Us ,No,0
771,Trash ,No,0
772,Trigun ,No,0
773,Trinity Blood ,No,0
774,Truly Kindly ,No,0
775,Tsubasa: Reservoir Chronicle ,No,0
776,Tsukuyomi -Moon Phase- ,No,0
777,Tuxedo Gin ,No,0
778,Twilight of the Dark Master ,No,0
779,Twin Signal ,No,0
780,Twin Spica ,No,0
781,Ultimate Muscle: The Kinnikuman Legacy ,No,0
782,Ultra Maniac ,No,0
783,Until the Full Moon ,No,0
784,UQ Holder! ,No,0
785,Uzumaki ,No,0
786,Vagabond ,No,0
787,Valkyr ,No,0
788,Vampire Game ,No,0
789,Vampire Knight ,No,0
790,Vampire Princess Miyu ,No,0
791,Vampire's Portrait ,No,0
792,Variante ,No,0
793,Venus in Love: see Love for Venus,No,0
794,Venus Versus Virus ,No,0
795,"Venus Wars, The ",No,0
796,Video Girl Ai ,No,0
797,Vision of Escaflowne ,No,0
798,Voiceful ,No,0
799,Voices of a Distant Star ,No,0
800,W Juliet ,No,0
801,Walkin' Butterfly,No,0
802,The Wallflower ,No,0
803,Wandering Son ,No,0
804,Warriors of Tao ,No,0
805,The Way To Heaven ,No,0
